"Trip mode","Start time | End time","Departure | Arrival",Odometer,Distance,Driver,Vehicle,Purpose,Contact," "
Business,"04/29/22, 08:03 AM | 04/29/22, 08:38 AM","Departure: DHarris Tours – HQ, 2221 Vista del Rio St, Crockett CA 94525, US | Arrival: 2032 Dover Ave, San Pablo CA 94806, US","3,473.0 mi | 3,484.7 mi","11.7 mi",—,"3601  – 3601",—,—," "
Business,"04/29/22, 07:10 AM | 04/29/22, 08:34 AM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: 2524 Harrison St, San Francisco CA 94110, US","4,672.6 mi | 4,702.2 mi","29.6 mi",—,"3801  – 3801",—,—," "
Business,"04/29/22, 07:16 AM | 04/29/22, 08:15 AM","Departure: 401 Parker Ave, Rodeo CA 94572, US | Arrival: Golden Rain Rd, Walnut Creek CA 94595, US","5,878.3 mi | 5,903.1 mi","24.7 mi",—,"2802  – 2802",—,—," "
Business,"04/29/22, 07:37 AM | 04/29/22, 08:04 AM","Departure: 2166 Bancroft Ave, San Leandro CA 94577, US | Arrival: 25111 Hesperian Blvd, Hayward CA 94545, US","5,121.2 mi | 5,131.6 mi","10.4 mi",—,"4402  – 4402",—,—," "
Business,"04/29/22, 07:08 AM | 04/29/22, 07:46 AM","Departure: DHarris Tours – HQ, 2221 Vista del Rio St, Crockett CA 94525, US | Arrival: 402 D St, Martinez CA 94553, US","1,830.3 mi | 1,844.5 mi","14.2 mi",—,"2302  – 2302",—,—," "
Business,"04/29/22, 06:50 AM | 04/29/22, 07:03 AM","Departure: DHarris Tours – HQ, 2217 Vista del Rio St, Crockett CA 94525, US | Arrival: 401 Parker Ave, Rodeo CA 94572, US","5,875.8 mi | 5,878.3 mi","2.6 mi",—,"2802  – 2802",—,—," "
Business,"04/29/22, 05:56 AM | 04/29/22, 06:56 AM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: 2166 Bancroft Ave, San Leandro CA 94577, US","5,088.7 mi | 5,121.2 mi","32.6 mi",—,"4402  – 4402",—,—," "
Business,"04/28/22, 06:58 PM | 04/28/22, 08:10 PM","Departure: 737 Moscow St, San Francisco CA 94112, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","1,695.8 mi | 1,729.9 mi","34.1 mi",—,"2503  – 2503",—,—," "
Business,"04/28/22, 06:41 PM | 04/28/22, 07:26 PM","Departure: 9789 Mountain Blvd, Oakland CA 94605, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","5,059.7 mi | 5,088.7 mi","29.0 mi",—,"4402  – 4402",—,—," "
Business,"04/28/22, 03:14 PM | 04/28/22, 07:04 PM","Departure: 519B, Sacramento CA 95814, US | Arrival: DHarris Tours – HQ, 2217 Vista del Rio St, Crockett CA 94525, US","3,342.3 mi | 3,473.0 mi","130.7 mi",—,"3601  – 3601",—,—," "
Business,"04/28/22, 05:59 PM | 04/28/22, 06:30 PM","Departure: 1167 Grant Ave, San Lorenzo CA 94580, US | Arrival: 9789 Mountain Blvd, Oakland CA 94605, US","5,053.0 mi | 5,059.7 mi","6.7 mi",—,"4402  – 4402",—,—," "
Business,"04/28/22, 05:39 PM | 04/28/22, 06:05 PM","Departure: Moscow St, San Francisco CA 94112, US | Arrival: Moscow St, San Francisco CA 94112, US","1,695.0 mi | 1,695.8 mi","0.8 mi",—,"2503  – 2503",—,—," "
Business,"04/28/22, 05:01 PM | 04/28/22, 05:29 PM","Departure: 383 Harkness Ave, San Francisco CA 94134, US | Arrival: Utah Ave, South San Francisco CA 94080, US","619.0 mi | 625.6 mi","6.6 mi",—,"4001  – 4001",—,—," "
Business,"04/28/22, 03:07 PM | 04/28/22, 04:38 PM","Departure: 4088 Mission St, San Francisco CA 94112, US | Arrival: 384 Harkness Ave, San Francisco CA 94134, US","608.3 mi | 619.0 mi","10.7 mi",—,"4001  – 4001",—,—," "
Business,"04/28/22, 03:59 PM | 04/28/22, 04:34 PM","Departure: Crockett Blvd, Crockett CA 94525, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","4,664.1 mi | 4,672.6 mi","8.5 mi",—,"3801  – 3801",—,—," "
Business,"04/28/22, 02:55 PM | 04/28/22, 04:15 PM","Departure: Utah Ave, South San Francisco CA 94080, US | Arrival: Utah Ave, South San Francisco CA 94080, US","1,564.3 mi | 1,583.4 mi","19.0 mi",—,"3602 – 3602",—,—," "
Business,"04/28/22, 02:54 PM | 04/28/22, 03:39 PM","Departure: 836 Willow Ave, Hercules CA 94547, US | Arrival: Crockett Blvd, Crockett CA 94525, US","4,659.2 mi | 4,664.1 mi","4.9 mi",—,"3801  – 3801",—,—," "
Business,"04/28/22, 02:04 PM | 04/28/22, 03:03 PM","Departure: 5783 McBryde Ave, Richmond CA 94805, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","3,813.6 mi | 3,828.6 mi","15.0 mi",—,"3501  – 3501",—,—," "
Business,"04/28/22, 01:35 PM | 04/28/22, 02:52 PM","Departure: Mitchell Rd, Sausalito CA 94965, US | Arrival: 4090 Mission St, San Francisco CA 94112, US","589.7 mi | 608.3 mi","18.6 mi",—,"4001  – 4001",—,—," "
Business,"04/28/22, 11:04 AM | 04/28/22, 02:51 PM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: 1157 Grant Ave, San Lorenzo CA 94580, US","4,988.7 mi | 5,053.0 mi","64.3 mi",—,"4402  – 4402",—,—," "
Business,"04/28/22, 02:17 PM | 04/28/22, 02:44 PM","Departure: 4161 San Bruno Ave, San Francisco CA 94134, US | Arrival: Moscow St, San Francisco CA 94112, US","1,692.5 mi | 1,695.0 mi","2.5 mi",—,"2503  – 2503",—,—," "
Business,"04/28/22, 02:07 PM | 04/28/22, 02:43 PM","Departure: 5713 Park Ave, San Pablo CA 94806, US | Arrival: 836 Willow Ave, Hercules CA 94547, US","4,647.6 mi | 4,659.2 mi","11.6 mi",—,"3801  – 3801",—,—," "
Business,"04/28/22, 01:03 PM | 04/28/22, 01:41 PM","Departure: 1467 Fitzgerald Dr, Pinole CA 94564, US | Arrival: 2362 Folsom St, San Francisco CA 94110, US","1,665.2 mi | 1,688.4 mi","23.2 mi",—,"2503  – 2503",—,—," "
