"Trip mode","Start time | End time","Departure | Arrival","Odometer Departure | Odometer Arrival",Distance,Driver,Vehicle,Purpose,Contact," "
Business,"05/26/23, 08:35 AM | 05/26/23, 10:53 AM","Departure: DHarris Tours – HQ, 2217 Vista del Rio St, Crockett CA 94525, US | Arrival: 6273 Mt Hermon Rd, Felton CA 95018, US","50,468.9 mi | 50,562.6 mi","93.8 mi",—,"3601  – 3601",—,—," "
Business,"05/26/23, 10:33 AM | 05/26/23, 10:49 AM","Departure: 10th St, Sacramento CA 95814, US | Arrival: I St, Sacramento CA 95814, US","138,631.9 mi | 138,633.2 mi","1.2 mi",—,"3501  – 3501",—,—," "
Business,"05/26/23, 10:32 AM | 05/26/23, 10:47 AM","Departure: 1261 10th St, Sacramento CA 95814, US | Arrival: I St, Sacramento CA 95814, US","13,452.4 mi | 13,453.6 mi","1.2 mi",—,"4403 – 4403",—,—," "
Business,"05/26/23, 10:06 AM | 05/26/23, 10:36 AM","Departure: New Traditions Elementary, 2039 Grove St, San Francisco CA 94117, US | Arrival: New Breitung Rd, Sausalito CA 94965, US","80,330.6 mi | 80,337.7 mi","7.1 mi",—,"2802  – 2802",—,—," "
Business,"05/26/23, 09:31 AM | 05/26/23, 10:26 AM","Departure: Morse – Boys & Girls Club, 740 Morse St, San Francisco CA 94112, US | Arrival: Field Rd, Sausalito CA 94965, US","289,461.9 mi | 289,475.9 mi","14.0 mi",—,"2302  – 2302",—,—," "
Business,"05/26/23, 08:00 AM | 05/26/23, 09:51 AM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: 52 Muir Woods Rd, Mill Valley CA 94941, US","10,602.1 mi | 10,655.2 mi","53.1 mi",—,"3602 – 3602",—,—," "
Business,"05/26/23, 08:27 AM | 05/26/23, 09:43 AM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: New Traditions Elementary, 2041 Grove St, San Francisco CA 94117, US","80,300.9 mi | 80,330.6 mi","29.7 mi",—,"2802  – 2802",—,—," "
Business,"05/26/23, 08:54 AM | 05/26/23, 09:39 AM","Departure: West Portal Elementary, 69 Claremont Blvd, San Francisco CA 94127, US | Arrival: New Breitung Rd, Sausalito CA 94965, US","140,694.3 mi | 140,703.7 mi","9.4 mi",—,"4001  – 4001",—,—," "
Business,"05/26/23, 08:10 AM | 05/26/23, 08:47 AM","Departure: Utah Ave, South San Francisco CA 94080, US | Arrival: Morse – Boys & Girls Club, 747 Morse St, San Francisco CA 94112, US","289,450.3 mi | 289,461.9 mi","11.6 mi",—,"2302  – 2302",—,—," "
Business,"05/26/23, 06:13 AM | 05/26/23, 08:34 AM","Departure: Sherman Elementary, 1644 Green St, San Francisco CA 94123, US | Arrival: 1261 10th St, Sacramento CA 95814, US","13,363.4 mi | 13,452.4 mi","89.1 mi",—,"4403 – 4403",—,—," "
Business,"05/26/23, 07:37 AM | 05/26/23, 08:15 AM","Departure: Utah Ave, South San Francisco CA 94080, US | Arrival: West Portal Elementary, 66 Claremont Blvd, San Francisco CA 94127, US","140,681.7 mi | 140,694.3 mi","12.6 mi",—,"4001  – 4001",—,—," "
Business,"05/26/23, 06:30 AM | 05/26/23, 08:14 AM","Departure: Sherman Elementary, 1628 Green St, San Francisco CA 94123, US | Arrival: 1263 10th St, Sacramento CA 95814, US","138,542.9 mi | 138,631.9 mi","89.1 mi",—,"3501  – 3501",—,—," "
Business,"05/26/23, 04:57 AM | 05/26/23, 06:02 AM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: Sherman Elementary, 1642 Green St, San Francisco CA 94123, US","13,333.0 mi | 13,363.4 mi","30.4 mi",—,"4403 – 4403",—,—," "
Business,"05/26/23, 04:58 AM | 05/26/23, 05:58 AM","Departure: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US | Arrival: Sherman Elementary, 1626 Green St, San Francisco CA 94123, US","138,512.8 mi | 138,542.9 mi","30.1 mi",—,"3501  – 3501",—,—," "
Business,"05/25/23, 04:44 PM | 05/25/23, 06:15 PM","Departure: 638 Avenue M, San Francisco CA 94130, US | Arrival: DHarris Tours – HQ, Vista del Rio St, Crockett CA 94525, US","10,576.9 mi | 10,602.1 mi","25.1 mi",—,"3602 – 3602",—,—," "
Business,"05/25/23, 05:02 PM | 05/25/23, 05:29 PM","Departure: 13883 E 14th St, San Leandro CA 94578, US | Arrival: 22119 Arbor Ave, Hayward CA 94541, US","126,072.3 mi | 126,076.7 mi","4.3 mi",—,"4402  – 4402",—,—," "
Business,"05/25/23, 01:05 PM | 05/25/23, 04:55 PM","Departure: Marine Dr, San Francisco CA 94129, US | Arrival: DHarris Tours – HQ, 2221 Vista del Rio St, Crockett CA 94525, US","50,407.8 mi | 50,468.9 mi","61.1 mi",—,"3601  – 3601",—,—," "
Business,"05/25/23, 01:10 PM | 05/25/23, 04:45 PM","Departure: 389 North Point St, San Francisco CA 94133, US | Arrival: Utah Ave, South San Francisco CA 94080, US","140,602.3 mi | 140,681.7 mi","79.4 mi",—,"4001  – 4001",—,—," "
Business,"05/25/23, 02:29 PM | 05/25/23, 04:03 PM","Departure: East Shore Trl, Castro Valley CA 94546, US | Arrival: 637 Avenue M, San Francisco CA 94130, US","10,542.6 mi | 10,576.9 mi","34.3 mi",—,"3602 – 3602",—,—," "
Business,"05/25/23, 01:18 PM | 05/25/23, 04:01 PM","Departure: Francisco Middle, 275 North Point St, San Francisco CA 94133, US | Arrival: 13883 E 14th St, San Leandro CA 94578, US","125,998.6 mi | 126,072.3 mi","73.7 mi",—,"4402  – 4402",—,—," "
